,input_number,input,input_ensg,ensg_number,ortholog_name,ortholog_ensg,description
1070,22,Mt2,ENSMUSG00000031762,22.1.1,MT2A,ENSG00000125148,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
1770,23,Syne1,ENSMUSG00000096054,23.1.1,SYNE1,ENSG00000131018,spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]
1530,24,Rps28,ENSMUSG00000067288,24.1.1,RPS28,ENSG00000233927,ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]
609,25,Flt1,ENSMUSG00000029648,25.1.1,FLT1,ENSG00000102755,fms related tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]
424,26,Cystm1,ENSMUSG00000046727,26.1.1,CYSTM1,ENSG00000120306,cysteine rich transmembrane module containing 1 [Source:HGNC Symbol;Acc:HGNC:30239]
611,27,Fmo2,ENSMUSG00000040170,27.1.1,FMO2,ENSG00000094963,flavin containing monooxygenase 2 [Source:HGNC Symbol;Acc:HGNC:3770]
1598,28,Selenow,ENSMUSG00000041571,28.1.1,SELENOW,ENSG00000178980,selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752]
1085,29,Myl6,ENSMUSG00000090841,29.1.1,MYL6,ENSG00000092841,myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]
1384,30,Pura,ENSMUSG00000043991,30.1.1,PURA,ENSG00000185129,purine rich element binding protein A [Source:HGNC Symbol;Acc:HGNC:9701]
25,31,AC149090.1,ENSMUSG00000095041,31.1.1,PISD,ENSG00000241878,N/A
1057,32,mt-Co1,ENSMUSG00000064351,32.1.1,MT-CO1,ENSG00000198804,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
1409,33,Ramp2,ENSMUSG00000001240,33.1.1,RAMP2,ENSG00000131477,receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844]
959,34,Ly6c1,ENSMUSG00000079018,34.1.1,N/A,N/A,N/A
1302,35,Ppia,ENSMUSG00000071866,35.1.1,PPIA,ENSG00000196262,peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]
1659,36,Slc7a5,ENSMUSG00000040010,36.1.1,SLC7A5,ENSG00000103257,solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]
716,37,H2-K1,ENSMUSG00000061232,37.1.1,N/A,N/A,N/A
1083,38,Myl12b,ENSMUSG00000034868,38.1.1,MYL12B,ENSG00000118680,myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]
1084,38,Myl12b,ENSMUSG00000117098,38.2.1,MYL12B,ENSG00000118680,myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]
1921,39,Ubb,ENSMUSG00000019505,39.1.1,UBB,ENSG00000170315,ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]
1856,40,Tmsb4x,ENSMUSG00000049775,40.1.1,TMSB4Y,ENSG00000154620,thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882]
1599,41,Sem1,ENSMUSG00000042541,41.1.1,SEM1,ENSG00000127922,N/A
103,42,Arhgap31,ENSMUSG00000022799,42.1.1,ARHGAP31,ENSG00000031081,Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]
101,43,Arglu1,ENSMUSG00000040459,43.1.1,ARGLU1,ENSG00000134884,arginine and glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:25482]
1486,44,Rpl27,ENSMUSG00000063316,44.1.1,RPL27,ENSG00000131469,ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]
604,45,Fkbp1a,ENSMUSG00000032966,45.1.1,FKBP1A,ENSG00000088832,FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]
605,45,Fkbp1a,ENSMUSG00000032966,45.1.2,FKBP1C,ENSG00000198225,FKBP prolyl isomerase 1C [Source:HGNC Symbol;Acc:HGNC:21376]
726,46,H3f3a,ENSMUSG00000060743,46.2.1,H3F3A,ENSG00000163041,H3 histone family member 3A [Source:HGNC Symbol;Acc:HGNC:4764]
377,47,Cp,ENSMUSG00000003617,47.1.1,CP,ENSG00000047457,ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]
1569,48,Samd9l,ENSMUSG00000047735,48.1.1,SAMD9L,ENSG00000177409,sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]
1056,49,mt-Atp8,ENSMUSG00000064356,49.1.1,MT-ATP8,ENSG00000228253,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]
1121,50,Ndufa7,ENSMUSG00000041881,50.1.2,NDUFA7,ENSG00000267855,NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]
1580,51,Sbno2,ENSMUSG00000035673,51.1.1,SBNO2,ENSG00000064932,strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]
1275,52,Pllp,ENSMUSG00000031775,52.1.1,PLLP,ENSG00000102934,plasmolipin [Source:HGNC Symbol;Acc:HGNC:18553]
1072,53,Mtch1,ENSMUSG00000024012,53.1.1,MTCH1,ENSG00000137409,mitochondrial carrier 1 [Source:HGNC Symbol;Acc:HGNC:17586]
1992,54,Vwf,ENSMUSG00000001930,54.1.1,VWF,ENSG00000110799,von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]
1224,55,Pcmtd1,ENSMUSG00000051285,55.1.1,PCMTD1,ENSG00000168300,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30483]
1963,56,Usp34,ENSMUSG00000056342,56.1.1,USP34,ENSG00000115464,ubiquitin specific peptidase 34 [Source:HGNC Symbol;Acc:HGNC:20066]
887,57,Klf6,ENSMUSG00000000078,57.1.1,KLF6,ENSG00000067082,Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]
69,58,Alpl,ENSMUSG00000028766,58.1.1,ALPL,ENSG00000162551,"alkaline phosphatase, biomineralization associated [Source:HGNC Symbol;Acc:HGNC:438]"
758,59,Hmgcs2,ENSMUSG00000027875,59.1.1,HMGCS2,ENSG00000134240,3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]
1999,60,Wfdc1,ENSMUSG00000023336,60.1.1,WFDC1,ENSG00000103175,WAP four-disulfide core domain 1 [Source:HGNC Symbol;Acc:HGNC:15466]
1271,61,Plcb1,ENSMUSG00000051177,61.1.1,PLCB1,ENSG00000182621,phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]
1645,62,Slc2a1,ENSMUSG00000028645,62.1.1,SLC2A1,ENSG00000117394,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]
596,63,Fcgrt,ENSMUSG00000003420,63.1.1,FCGRT,ENSG00000104870,Fc fragment of IgG receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]
1376,64,Ptprb,ENSMUSG00000020154,64.1.1,PTPRB,ENSG00000127329,"protein tyrosine phosphatase, receptor type B [Source:HGNC Symbol;Acc:HGNC:9665]"
1565,65,S100a13,ENSMUSG00000042312,65.1.1,S100A13,ENSG00000189171,S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]
1109,66,Ncor1,ENSMUSG00000018501,66.1.1,NCOR1,ENSG00000141027,nuclear receptor corepressor 1 [Source:HGNC Symbol;Acc:HGNC:7672]
488,67,Dusp1,ENSMUSG00000024190,67.1.1,DUSP1,ENSG00000120129,dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]
1448,68,Rflnb,ENSMUSG00000020846,68.1.1,RFLNB,ENSG00000183688,refilin B [Source:HGNC Symbol;Acc:HGNC:28705]
673,69,Gm10076,ENSMUSG00000060143,69.1.1,N/A,N/A,N/A
1816,70,Timp3,ENSMUSG00000020044,70.1.1,TIMP3,ENSG00000100234,TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]
1545,71,Rrbp1,ENSMUSG00000027422,71.1.1,RRBP1,ENSG00000125844,ribosome binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10448]
1630,72,Sik1,ENSMUSG00000024042,72.1.1,SIK1,ENSG00000142178,salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142]
1631,72,Sik1,ENSMUSG00000024042,72.1.2,SIK1B,ENSG00000275993,salt inducible kinase 1B (putative) [Source:HGNC Symbol;Acc:HGNC:52389]
839,73,Iqgap1,ENSMUSG00000030536,73.1.1,IQGAP1,ENSG00000140575,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]
51,74,Ahnak,ENSMUSG00000069833,74.1.1,AHNAK,ENSG00000124942,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]
1228,75,Pcsk1n,ENSMUSG00000039278,75.1.1,PCSK1N,ENSG00000102109,proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]
1066,76,mt-Nd5,ENSMUSG00000064367,76.1.1,MT-ND5,ENSG00000198786,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]
717,77,H2-Q4,ENSMUSG00000035929,77.1.1,N/A,N/A,N/A
741,78,Hhex,ENSMUSG00000024986,78.1.1,HHEX,ENSG00000152804,N/A
742,78,Hhex,ENSMUSG00000111314,78.2.1,N/A,N/A,N/A
679,79,Gm9946,ENSMUSG00000054488,79.1.1,N/A,N/A,N/A
49,80,Afdn,ENSMUSG00000068036,80.1.1,AFDN,ENSG00000130396,"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]"
1755,81,Strn3,ENSMUSG00000020954,81.1.1,STRN3,ENSG00000196792,striatin 3 [Source:HGNC Symbol;Acc:HGNC:15720]
2046,82,Zfp644,ENSMUSG00000049606,82.1.1,ZNF644,ENSG00000122482,zinc finger protein 644 [Source:HGNC Symbol;Acc:HGNC:29222]
270,83,Cd2ap,ENSMUSG00000061665,83.1.1,CD2AP,ENSG00000198087,CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]
1105,84,Nbeal1,ENSMUSG00000073664,84.1.1,NBEAL1,ENSG00000144426,neurobeachin like 1 [Source:HGNC Symbol;Acc:HGNC:20681]
514,85,Egr1,ENSMUSG00000038418,85.1.1,EGR1,ENSG00000120738,early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]
1440,86,Rdx,ENSMUSG00000032050,86.1.1,RDX,ENSG00000137710,radixin [Source:HGNC Symbol;Acc:HGNC:9944]
886,87,Klf4,ENSMUSG00000003032,87.1.1,KLF4,ENSG00000136826,Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]
126,88,Atf3,ENSMUSG00000026628,88.1.1,ATF3,ENSG00000162772,activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]
46,89,Aes,ENSMUSG00000054452,89.1.1,AES,ENSG00000104964,amino-terminal enhancer of split [Source:HGNC Symbol;Acc:HGNC:307]
276,90,Cd9,ENSMUSG00000030342,90.1.1,CD9,ENSG00000010278,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
1635,91,Skil,ENSMUSG00000027660,91.1.1,SKIL,ENSG00000136603,SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]
2011,92,Ybx1,ENSMUSG00000028639,92.1.1,YBX1,ENSG00000065978,Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]
790,93,Hsp90aa1,ENSMUSG00000021270,93.1.1,HSP90AA1,ENSG00000080824,heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]
1178,94,Nr4a2,ENSMUSG00000026826,94.1.1,NR4A2,ENSG00000153234,nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]
687,95,Gng5,ENSMUSG00000068523,95.1.1,GNG5,ENSG00000174021,N/A
1506,96,Rpl7a,ENSMUSG00000062647,96.1.1,RPL7A,ENSG00000148303,N/A
27,97,Acer2,ENSMUSG00000038007,97.1.1,ACER2,ENSG00000177076,alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675]
1328,98,Prex2,ENSMUSG00000048960,98.1.1,PREX2,ENSG00000046889,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]"
1854,99,Tmsb10,ENSMUSG00000079523,99.1.1,TMSB10,ENSG00000034510,thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]
1273,100,Plec,ENSMUSG00000022565,100.1.1,PLEC,ENSG00000178209,plectin [Source:HGNC Symbol;Acc:HGNC:9069]
383,101,Crip1,ENSMUSG00000006360,101.1.1,CRIP1,ENSG00000213145,cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]
899,102,Ktn1,ENSMUSG00000021843,102.1.1,KTN1,ENSG00000126777,kinectin 1 [Source:HGNC Symbol;Acc:HGNC:6467]
275,103,Cd81,ENSMUSG00000037706,103.1.1,CD81,ENSG00000110651,CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]
1177,104,Nr3c1,ENSMUSG00000024431,104.1.1,NR3C1,ENSG00000113580,nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]
1726,105,Srrm2,ENSMUSG00000039218,105.1.1,SRRM2,ENSG00000167978,serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:HGNC:16639]
110,106,Arid5a,ENSMUSG00000037447,106.1.1,ARID5A,ENSG00000196843,AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]
474,108,Dnm3,ENSMUSG00000040265,108.1.1,DNM3,ENSG00000197959,dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125]
1830,109,Tmbim6,ENSMUSG00000023010,109.1.1,TMBIM6,ENSG00000139644,transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]
1550,110,Rsrp1,ENSMUSG00000037266,110.1.1,C1orf63,ENSG00000117616,arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]
960,111,Ly6e,ENSMUSG00000022587,111.1.1,LY6E,ENSG00000160932,lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]
1852,112,Tmod3,ENSMUSG00000058587,112.1.1,TMOD3,ENSG00000138594,tropomodulin 3 [Source:HGNC Symbol;Acc:HGNC:11873]
2023,113,Zbtb20,ENSMUSG00000022708,113.1.1,ZBTB20,ENSG00000181722,zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]
1080,114,Myh9,ENSMUSG00000022443,114.1.1,MYH9,ENSG00000100345,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]
1629,115,Shoc2,ENSMUSG00000024976,115.1.1,SHOC2,ENSG00000108061,"SHOC2, leucine rich repeat scaffold protein [Source:HGNC Symbol;Acc:HGNC:15454]"
140,116,Atp5e,ENSMUSG00000016252,116.1.1,ATP5F1E,ENSG00000124172,ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]
1879,117,Tpr,ENSMUSG00000006005,117.1.1,TPR,ENSG00000047410,"translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]"
1667,118,Smad7,ENSMUSG00000025880,118.1.1,SMAD7,ENSG00000101665,SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]
885,119,Klf3,ENSMUSG00000029178,119.1.1,KLF3,ENSG00000109787,Kruppel like factor 3 [Source:HGNC Symbol;Acc:HGNC:16516]
2031,120,Zcchc6,N/A,120.1.1,TUT7,ENSG00000083223,N/A
1324,121,Prdx1,ENSMUSG00000028691,121.1.1,PRDX1,ENSG00000117450,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]
691,122,Golim4,ENSMUSG00000034109,122.1.1,GOLIM4,ENSG00000173905,golgi integral membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15448]
916,123,Lef1,ENSMUSG00000027985,123.1.1,LEF1,ENSG00000138795,lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]
1297,124,Pomp,ENSMUSG00000029649,124.1.1,POMP,ENSG00000132963,proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]
932,125,Lmo2,ENSMUSG00000032698,125.1.1,LMO2,ENSG00000135363,LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]
1881,126,Tpt1,ENSMUSG00000060126,126.1.1,TPT1,ENSG00000133112,N/A
995,127,Mcl1,ENSMUSG00000038612,127.1.1,MCL1,ENSG00000143384,"MCL1, BCL2 family apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:6943]"
35,128,Adamts1,ENSMUSG00000022893,128.1.1,ADAMTS1,ENSG00000154734,ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]
795,129,Hspa1b,ENSMUSG00000090877,129.1.1,HSPA1B,ENSG00000204388,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
796,129,Hspa1b,ENSMUSG00000090877,129.1.2,HSPA1A,ENSG00000204389,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
797,129,Hspa1b,ENSMUSG00000091971,129.2.1,HSPA1B,ENSG00000204388,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
798,129,Hspa1b,ENSMUSG00000091971,129.2.2,HSPA1A,ENSG00000204389,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
963,130,Macf1,ENSMUSG00000028649,130.1.1,MACF1,ENSG00000127603,microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]
1207,131,Pafah1b1,ENSMUSG00000020745,131.1.1,PAFAH1B1,ENSG00000007168,platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]
160,132,Atrx,ENSMUSG00000031229,132.1.1,ATRX,ENSG00000085224,"ATRX, chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]"
1817,133,Tinagl1,ENSMUSG00000028776,133.1.1,TINAGL1,ENSG00000142910,tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]
623,134,Foxq1,ENSMUSG00000038415,134.1.1,FOXQ1,ENSG00000164379,forkhead box Q1 [Source:HGNC Symbol;Acc:HGNC:20951]
210,135,Btg2,ENSMUSG00000020423,135.1.1,BTG2,ENSG00000159388,BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]
902,136,Lamp1,ENSMUSG00000031447,136.1.1,LAMP1,ENSG00000185896,lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]
1158,137,Nfib,ENSMUSG00000008575,137.1.1,NFIB,ENSG00000147862,nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]
145,138,Atp5h,ENSMUSG00000034566,138.1.1,ATP5PD,ENSG00000167863,ATP synthase peripheral stalk subunit d [Source:HGNC Symbol;Acc:HGNC:845]
1653,139,Slc3a2,ENSMUSG00000010095,139.1.1,SLC3A2,ENSG00000168003,solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]
558,140,Epas1,ENSMUSG00000024140,140.1.1,EPAS1,ENSG00000116016,endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]
1821,141,Tle4,ENSMUSG00000024642,141.1.1,TLE4,ENSG00000106829,"TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]"
1003,142,Mef2c,ENSMUSG00000005583,142.1.1,MEF2C,ENSG00000081189,myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]
1906,143,Tuba1a,ENSMUSG00000072235,143.1.1,TUBA1A,ENSG00000167552,tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]
1771,144,Syne2,ENSMUSG00000063450,144.1.1,SYNE2,ENSG00000054654,spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]
928,145,Lims2,ENSMUSG00000024395,145.1.1,LIMS2,ENSG00000072163,LIM zinc finger domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16084]
1035,146,Mpzl1,ENSMUSG00000026566,146.1.1,MPZL1,ENSG00000197965,myelin protein zero like 1 [Source:HGNC Symbol;Acc:HGNC:7226]
794,147,Hspa1a,ENSMUSG00000091971,147.1.2,HSPA1A,ENSG00000204389,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
250,148,Cbx3,ENSMUSG00000029836,148.1.1,CBX3,ENSG00000122565,N/A
1337,149,Prpf4b,ENSMUSG00000021413,149.1.1,PRPF4B,ENSG00000112739,pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]
1627,150,Sh3glb1,ENSMUSG00000037062,150.1.1,SH3GLB1,ENSG00000097033,"SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]"
1272,151,Plcb4,ENSMUSG00000039943,151.1.1,PLCB4,ENSG00000101333,phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]
1596,152,Selenop,ENSMUSG00000064373,152.1.1,SELENOP,ENSG00000250722,selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]
2045,153,Zfp638,ENSMUSG00000030016,153.1.1,ZNF638,ENSG00000075292,zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]
355,154,Col4a3bp,ENSMUSG00000021669,154.1.1,COL4A3BP,ENSG00000113163,collagen type IV alpha 3 binding protein [Source:HGNC Symbol;Acc:HGNC:2205]
1451,155,Rgs5,ENSMUSG00000026678,155.1.1,RGS5,ENSG00000143248,regulator of G protein signaling 5 [Source:HGNC Symbol;Acc:HGNC:10001]
843,156,Iscu,ENSMUSG00000025825,156.1.1,ISCU,ENSG00000136003,iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]
1870,157,Tomm7,ENSMUSG00000028998,157.1.1,TOMM7,ENSG00000196683,translocase of outer mitochondrial membrane 7 [Source:HGNC Symbol;Acc:HGNC:21648]
1002,158,Mef2a,ENSMUSG00000030557,158.1.1,MEF2A,ENSG00000068305,myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]
1692,159,Snx3,ENSMUSG00000019804,159.1.1,SNX3,ENSG00000112335,sorting nexin 3 [Source:HGNC Symbol;Acc:HGNC:11174]
327,160,Cldn5,ENSMUSG00000041378,160.1.1,CLDN5,ENSG00000184113,claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]
292,161,Cdkn1a,ENSMUSG00000023067,161.1.1,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]
40,162,Adgrf5,ENSMUSG00000056492,162.1.1,GPR116,ENSG00000069122,adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]
491,163,Dusp3,ENSMUSG00000003518,163.1.1,DUSP3,ENSG00000108861,N/A
2041,164,Zfp36,ENSMUSG00000044786,164.1.1,ZFP36,ENSG00000128016,ZFP36 ring finger protein [Source:NCBI gene;Acc:7538]
1903,165,Ttc3,ENSMUSG00000040785,165.1.1,TTC3,ENSG00000182670,tetratricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12393]
312,166,Chchd2,ENSMUSG00000070493,166.1.1,CHCHD2,ENSG00000106153,coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]
1608,167,Serinc3,ENSMUSG00000017707,167.1.1,SERINC3,ENSG00000132824,serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]
850,168,Itih5,ENSMUSG00000025780,168.1.1,ITIH5,ENSG00000123243,inter-alpha-trypsin inhibitor heavy chain family member 5 [Source:HGNC Symbol;Acc:HGNC:21449]
307,169,Cfl1,ENSMUSG00000056201,169.1.1,CFL1,ENSG00000172757,cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]
